street,city,state,zip,phone,cc,cc_type
0 Algoma Park,El Paso,Texas,79989,915-454-4961,5048375615946505,mastercard
6575 4th Hill,Evansville,Indiana,47737,812-467-1768,5048377501033216,mastercard
011 4th Trail,Tulsa,Oklahoma,74126,918-681-2379,5048373539650741,mastercard
06 Dahle Drive,Chicago,Illinois,60686,312-448-2596,5048376633124539,mastercard
3924 Lillian Drive,Duluth,Georgia,30195,404-407-9636,5108757953912362,mastercard
91976 Jenna Avenue,Honolulu,Hawaii,96845,808-183-5882,5108757147032242,mastercard
5 Butternut Street,Duluth,Minnesota,55805,218-376-9972,5048370611171497,mastercard
013 International Lane,El Paso,Texas,88525,915-492-2864,5048379794762618,mastercard
58 Rowland Junction,Idaho Falls,Idaho,83405,208-492-5075,5108751910224417,mastercard
5149 Thompson Hill,Huntington,West Virginia,25705,304-652-0981,5048376285522295,mastercard
9 Blue Bill Park Drive,Raleigh,North Carolina,27605,919-813-6221,5048372443980863,mastercard
2626 Aberg Center,Aurora,Colorado,80045,303-803-3309,5108755201079612,mastercard
19726 Macpherson Hill,Savannah,Georgia,31405,912-751-9828,5048374924957386,mastercard
2 Ludington Crossing,San Jose,California,95118,408-398-2896,5048379592396072,mastercard
87938 Eagle Crest Circle,Cambridge,Massachusetts,02142,857-404-1573,5108758013633766,mastercard
9230 Delaware Terrace,Washington,District of Columbia,20205,202-277-8338,5108758533338409,mastercard
78 Red Cloud Park,Minneapolis,Minnesota,55428,763-214-6007,5048370359803905,mastercard
56326 Melby Parkway,Madison,Wisconsin,53726,608-842-9140,5048376570114568,mastercard
1 Forest Dale Road,Newport Beach,California,92662,714-129-5780,5108752873321919,mastercard
3 Killdeer Alley,Davenport,Iowa,52809,563-831-3472,5048379586427149,mastercard
2958 Homewood Drive,Springfield,Virginia,22156,571-371-4555,5108753689392243,mastercard
9948 Boyd Terrace,Denton,Texas,76205,682-763-1991,5048373326154394,mastercard
